,Unnamed: 0,sensor_id,location,lat,lon,timestamp,pressure,temperature,humidity
240,665,2230,1121,42.692,23.332,2017-07-01T00:16:15,95058.72,27.42,46.1
241,668,2294,1155,42.645,23.265,2017-07-01T00:16:17,92621.77,23.86,45.45
242,669,2264,1139,42.67100000000001,23.31,2017-07-01T00:16:20,94735.69,24.75,59.21
243,670,1850,925,42.677,23.311,2017-07-01T00:16:21,94833.0,24.29,59.45
244,678,2234,1123,42.685,23.356,2017-07-01T00:16:31,94904.2,27.24,41.45
245,680,3558,1793,42.67100000000001,23.364,2017-07-01T00:16:35,94793.61,26.6,42.33
246,681,2262,1138,42.691,23.324,2017-07-01T00:16:43,94849.64,26.08,45.82
247,683,1764,879,42.622,23.366,2017-07-01T00:16:48,93918.59,23.83,51.64
248,690,3836,1933,42.702,23.371,2017-07-01T00:17:02,95302.7,24.01,53.12
249,691,2038,1024,42.694,23.32,2017-07-01T00:17:03,95026.63,28.92,39.44
250,692,2323,1172,42.68600000000001,23.4,2017-07-01T00:17:03,95162.26,24.19,51.68
251,698,2266,1140,42.738,23.272,2017-07-01T00:17:12,95267.28,23.38,62.78
252,699,1952,976,42.709,23.398000000000003,2017-07-01T00:17:12,95315.86,22.25,57.16
253,702,2292,1154,42.663,23.273000000000003,2017-07-01T00:17:14,94336.34,23.07,60.23
254,705,3428,1727,42.624,23.406,2017-07-01T00:17:18,94687.58,28.15,40.04
255,707,1846,923,42.64,23.31,2017-07-01T00:17:21,93618.08,23.48,51.88
256,712,3096,1558,42.7,23.36,2017-07-01T00:17:24,95149.48,26.1,45.65
257,716,3512,1770,42.683,23.335,2017-07-01T00:17:30,94951.5,24.3,56.55
258,718,3472,1750,42.669,23.318,2017-07-01T00:17:34,94312.57,26.25,48.36
259,719,2228,1120,42.693000000000005,23.333,2017-07-01T00:17:34,94979.4,26.04,46.67
260,725,3620,1824,42.678,23.254,2017-07-01T00:17:38,94438.22,25.46,57.24
261,728,3438,1732,42.738,23.293000000000003,2017-07-01T00:17:43,95102.86,24.19,59.62
262,729,1954,977,42.70399999999999,23.354,2017-07-01T00:17:44,95073.88,26.17,44.85
263,731,3092,1556,42.666,23.284,2017-07-01T00:17:50,94530.64,24.26,0.0
264,738,1962,981,42.69,23.324,2017-07-01T00:18:02,94932.95,25.71,47.0
265,739,3436,1731,42.693000000000005,23.359,2017-07-01T00:18:03,94941.22,26.38,45.53
266,740,3474,1751,42.68,23.293000000000003,2017-07-01T00:18:04,94616.36,26.21,50.62
267,742,2036,1023,42.657,23.349,2017-07-01T00:18:07,94491.08,23.71,51.54
268,743,2232,1122,42.685,23.301,2017-07-01T00:18:14,94671.83,25.36,52.55
269,745,2607,1313,42.66,23.319000000000003,2017-07-01T00:18:15,94422.84,24.13,56.15
270,750,3738,1884,42.7,23.332,2017-07-01T00:18:22,95214.59,27.71,41.96
271,751,3102,1561,42.665,23.392,2017-07-01T00:18:27,95040.78,25.61,44.39
272,752,2040,1025,42.68600000000001,23.351,2017-07-01T00:18:28,94946.73,25.25,48.45
273,755,2224,1118,42.651,23.335,2017-07-01T00:18:33,94431.92,24.76,48.86
274,758,2216,1114,42.664,23.373,2017-07-01T00:18:35,94794.26,25.86,46.51
275,762,3432,1729,42.71,23.419,2017-07-01T00:18:38,95325.5,24.74,53.05
276,764,2230,1121,42.692,23.332,2017-07-01T00:18:41,95058.79,27.46,46.13
277,767,2294,1155,42.645,23.265,2017-07-01T00:18:44,92621.08,23.78,45.89
278,768,2264,1139,42.67100000000001,23.31,2017-07-01T00:18:47,94745.94,24.76,59.44
279,769,1850,925,42.677,23.311,2017-07-01T00:18:48,94824.28,24.26,59.83
280,776,3558,1793,42.67100000000001,23.364,2017-07-01T00:19:02,94799.5,26.63,42.92
281,778,2234,1123,42.685,23.356,2017-07-01T00:19:04,94905.55,27.5,40.58
282,779,2262,1138,42.691,23.324,2017-07-01T00:19:10,94853.77,26.02,46.1
283,781,1764,879,42.622,23.366,2017-07-01T00:19:14,93917.67,23.61,54.79
284,789,2038,1024,42.694,23.32,2017-07-01T00:19:29,95025.91,28.96,39.41
285,790,3836,1933,42.702,23.371,2017-07-01T00:19:29,95302.66,23.93,53.43
286,792,2323,1172,42.68600000000001,23.4,2017-07-01T00:19:30,95155.3,24.23,51.62
287,795,1952,976,42.709,23.398000000000003,2017-07-01T00:19:38,95308.09,22.24,57.49
288,797,2266,1140,42.738,23.272,2017-07-01T00:19:39,95263.94,23.22,63.79
289,800,2292,1154,42.663,23.273000000000003,2017-07-01T00:19:40,94349.59,23.01,59.59
290,803,3428,1727,42.624,23.406,2017-07-01T00:19:44,94681.94,28.08,41.47
291,805,1846,923,42.64,23.31,2017-07-01T00:19:47,93607.38,23.39,53.99
292,811,3096,1558,42.7,23.36,2017-07-01T00:19:52,95150.16,26.06,45.79
293,814,3512,1770,42.683,23.335,2017-07-01T00:19:56,94956.16,24.47,56.74
294,816,2228,1120,42.693000000000005,23.333,2017-07-01T00:20:01,94984.09,25.98,46.67
295,822,3472,1750,42.669,23.318,2017-07-01T00:20:03,94309.73,26.18,48.75
296,824,3438,1732,42.738,23.293000000000003,2017-07-01T00:20:09,95088.75,23.99,59.48
297,826,1954,977,42.70399999999999,23.354,2017-07-01T00:20:11,95066.14,26.15,44.95
298,829,3092,1556,42.666,23.284,2017-07-01T00:20:18,94534.09,24.07,0.0
299,837,3620,1824,42.678,23.254,2017-07-01T00:20:27,94438.7,25.75,56.89
300,838,1962,981,42.69,23.324,2017-07-01T00:20:29,94928.55,25.71,46.89
301,840,3474,1751,42.68,23.293000000000003,2017-07-01T00:20:31,94630.75,26.29,50.22
302,842,3436,1731,42.693000000000005,23.359,2017-07-01T00:20:32,94940.64,26.59,45.16
303,843,2036,1023,42.657,23.349,2017-07-01T00:20:34,94492.4,23.49,52.8
